ProjectAccession,Instrument,Quantification Method,Software,PTM
PXD008513,MS:1001911,PRIDE:0000315,,MOD:00394|MOD:00935|MOD:00397|MOD:00582
PXD008476,MS:1002417,,,MOD:00425|MOD:00400
PXD006931,MS:1000932,,,PRIDE:0000398
PXD008520,MS:1002523,PRIDE:0000312,,MOD:00425|MOD:00394|MOD:00397
PXD008522,MS:1001911,PRIDE:0000323,,MOD:00425|MOD:00397
PXD008528,MS:1001910,PRIDE:0000313,,MOD:00397|MOD:01499
PXD008529,MS:1001911,PRIDE:0000312,,MOD:00425|MOD:00394
PXD008497,MS:1001911,,,PRIDE:0000398
PXD008498,MS:1002416,PRIDE:0000435,,MOD:00425|MOD:00397
PXD008504,MS:1002523,,,MOD:00429|MOD:00599
PXD008509,MS:1001742,PRIDE:0000436,,MOD:00394|MOD:00397
PXD008551,MS:1000201,,,MOD:00397
PXD008542,MS:1000447,PRIDE:0000315,,MOD:00425|MOD:00544|MOD:00397
PXD008541,MS:1001911,PRIDE:0000312,,PRIDE:0000398
PXD008500,MS:1001911,PRIDE:0000312,,MOD:00425|MOD:00394|MOD:00397
PXD008461,MS:1002416,PRIDE:0000425,,MOD:00425|MOD:00394|MOD:00397
PXD008462,MS:1001742,PRIDE:0000436,,MOD:00425|MOD:01090
PXD008464,MS:1000932,,,MOD:00425|MOD:00397|MOD:00408
PXD004471,MS:1000932,,,MOD:00462|MOD:00400
PXD008466,MS:1002533,PRIDE:0000436,,PRIDE:0000398
PXD008478,MS:1000932,PRIDE:0000447,,MOD:00397
PXD008289,MS:1001911,,,MOD:00696
PXD008463,MS:1002417,,,MOD:00425|MOD:00397|MOD:00400
PXD008467,MS:1001911,PRIDE:0000314,,MOD:01720|MOD:00425|MOD:00397|MOD:00400
PXD008473,MS:1000932,PRIDE:0000447,,MOD:00397
PXD008546,MS:1001910,,,MOD:00696
PXD008552,MS:1001911,PRIDE:0000313,,PRIDE:0000398
PXD008554,MS:1001742,,,MOD:00425|MOD:01160|MOD:00397
PXD007890,MS:1002732,PRIDE:0000425,,UNIMOD:4|UNIMOD:35|UNIMOD:1
PXD008543,MS:1001742,,,MOD:00425|MOD:00394|MOD:00397
PXD008553,MS:1001541,PRIDE:0000441,,UNIMOD:385|UNIMOD:21|UNIMOD:23|UNIMOD:7|UNIMOD:4|UNIMOD:35|UNIMOD:1
PXD008468,MS:1001911,PRIDE:0000314,,MOD:01720|MOD:00425|MOD:00397|MOD:00400
PXD008582,MS:1001910,,,MOD:00696
PXD008595,MS:1001742,,,UNIMOD:4|UNIMOD:35
PXD008297,MS:1001783,,,MOD:00425|MOD:00397|MOD:00400
PXD008490,MS:1001911,,,UNIMOD:35
PXD008547,MS:1000190,,,UNIMOD:7|UNIMOD:4|UNIMOD:35
PXD008486,MS:1002523,,,MOD:00425|MOD:00428|MOD:00693|MOD:00400
PXD008568,MS:1001911,,,MOD:01549
PXD008569,MS:1000494,,,MOD:01549
PXD008572,MS:1000932,,,MOD:00425|MOD:00696|MOD:00428|MOD:00400|MOD:00704
PXD008574,MS:1000122|MS:1001911,PRIDE:0000425|PRIDE:0000315,,MOD:00429|MOD:00394|MOD:00544
PXD008575,MS:1002732|MS:1001911,PRIDE:0000314,,MOD:00397
PXD008544,MS:1000556,,,UNIMOD:6|UNIMOD:7|UNIMOD:35
PXD008555,MS:1002416,,,MOD:00425|MOD:00394|MOD:00397
PXD008602,MS:1001911,PRIDE:0000425,,UNIMOD:188|UNIMOD:4|UNIMOD:35
PXD008605,MS:1002732,,,MOD:00425|MOD:00397
PXD008538,MS:1001910,PRIDE:0000312,,MOD:00425|MOD:00394|MOD:00397
PXD008539,MS:1001911,,,MOD:00394|MOD:00397|MOD:00400
PXD008577,MS:1001911,,,MOD:00425
PXD008578,MS:1001911,PRIDE:0000435,,MOD:00674|MOD:00397
PXD008579,MS:1002732,PRIDE:0000315|PRIDE:0000314,,MOD:00425|MOD:00394|MOD:00397
PXD008562,MS:1002416,PRIDE:0000312,,MOD:00425|MOD:00397
PXD008511,MS:1001911,PRIDE:0000315,,MOD:00394|MOD:00935|MOD:00397|MOD:00582
PXD008499,MS:1002416,,,MOD:00397
PXD008998,MS:1001911,,,PRIDE:0000398
PXD009009,MS:1001910|MS:1000449,PRIDE:0000316|PRIDE:0000315,,MOD:00425|MOD:00394
PXD006820,MS:1001911,,,MOD:00425|MOD:01254|MOD:00084|MOD:00397|MOD:01459
PXD008514,MS:1001911,PRIDE:0000315,,MOD:00394|MOD:00935|MOD:00397|MOD:00582
PXD008545,MS:1001742,,,PRIDE:0000398
PXD008570,MS:1000932,,,MOD:00425|MOD:00696|MOD:00428|MOD:00400|MOD:00704
PXD008571,MS:1000932,,,MOD:00425|MOD:00696|MOD:00428|MOD:00400|MOD:00704
PXD008592,MS:1001782|MS:1001911,,,UNIMOD:7|UNIMOD:4|UNIMOD:35
PXD008596,MS:1002634,PRIDE:0000315,,MOD:00425|MOD:00544|MOD:00397
PXD008855,MS:1001911,,,UNIMOD:21|UNIMOD:4
PXD008656,MS:1000932,PRIDE:0000436,,PRIDE:0000398
PXD009989,MS:1000449,PRIDE:0000313,,MOD:00397|MOD:01499
PXD008805,MS:1001911,PRIDE:0000314,,MOD:01720|MOD:00425
PXD008814,MS:1000449,PRIDE:0000313,,MOD:00425|MOD:00394|MOD:00397
PXD008823,MS:1001742,PRIDE:0000436,,MOD:00425|MOD:00696|MOD:00397|MOD:00400
